    EditType  TruePositive  FalsePositive  FalseNegative  TotalErrors
        noop           645            514            105          619
     M:PUNCT           243            164            279          443
     R:OTHER            17             46            389          435
      R:PREP            48             42            176          218
R:VERB:TENSE            42             37            150          187
      R:VERB             6             13            169          182
     R:SPELL            53             36            140          176
       M:DET            56             51            113          164
      R:ORTH           102             63             81          144
      R:NOUN             8             18            120          138
       U:DET            49             50             84          134
     R:PUNCT            50             47             86          133
  R:NOUN:NUM            39             41             85          126
 R:VERB:FORM            49             50             73          123
     R:MORPH            16             27             76          103
         UNK             0              0             83           83
       R:DET             8              8             66           74
  R:VERB:SVA            49             41             30           71
      M:PREP             9              9             60           69
      U:PREP            16             18             42           60
     U:PUNCT             7             18             40           58
       R:ADJ             2              9             45           54
     M:OTHER             3             10             38           48
        R:WO             5              4             38           42
     U:OTHER             1             19             21           40
       R:ADV             1              6             33           39
      M:PRON             9             11             27           38
M:VERB:TENSE             2              2             31           33
      U:PRON             3              6             22           28
      R:PRON             6              5             21           26
      U:NOUN             1             11             14           25
U:VERB:TENSE             2              3             21           24
      M:VERB             0              4             20           24
      R:PART             5              4             19           23
      U:VERB             2             10             11           21
       U:ADV             0              6             14           20
      M:NOUN             0              2             14           16
 R:NOUN:POSS             2              0             15           15
       M:ADV             0              0             14           14
 M:NOUN:POSS             4              0             12           12
      M:CONJ             0              0             12           12
       M:ADJ             0              0              9            9
     R:CONTR             3              0              8            8
       U:ADJ             0              2              5            7
 U:VERB:FORM             1              2              5            7
 M:VERB:FORM             4              2              5            7
      M:PART             0              0              6            6
 R:NOUN:INFL             2              1              5            6
 U:NOUN:POSS             0              1              5            6
      U:CONJ             0              0              6            6
      R:CONJ             0              0              6            6
      U:PART             1              2              3            5
  R:ADJ:FORM             0              0              4            4
     U:CONTR             0              0              3            3
 R:VERB:INFL             4              2              0            2
     M:CONTR             0              0              1            1
