    EditType  TruePositive  FalsePositive  FalseNegative  TotalErrors
        noop           666            622             84          706
     M:PUNCT           200            124            322          446
     R:OTHER             9             28            397          425
      R:PREP            19             23            205          228
R:VERB:TENSE            25             17            167          184
      R:VERB             5             12            170          182
     R:SPELL            53             33            140          173
     R:PUNCT            39             65             97          162
       M:DET            49             30            120          150
       U:DET            36             51             97          148
      R:ORTH            91             54             92          146
      R:NOUN             3             12            125          137
  R:NOUN:NUM            32             36             92          128
 R:VERB:FORM            46             42             76          118
     R:MORPH            11             32             81          113
         UNK             0              0             83           83
  R:VERB:SVA            44             44             35           79
       R:DET             5              4             69           73
      M:PREP             8              8             61           69
      U:PREP            12             11             46           57
     U:PUNCT             6             15             41           56
       R:ADJ             2              6             45           51
     M:OTHER             3              5             38           43
        R:WO             2              0             41           41
       R:ADV             0              2             34           36
      M:PRON             7              6             29           35
     U:OTHER             1             13             21           34
M:VERB:TENSE             1              1             32           33
U:VERB:TENSE             0              3             23           26
      R:PART             3              5             21           26
      R:PRON             5              4             22           26
      U:PRON             3              1             22           23
      M:VERB             1              4             19           23
      U:NOUN             0              7             15           22
      U:VERB             2              8             11           19
       U:ADV             0              5             14           19
 R:NOUN:POSS             1              1             16           17
      M:NOUN             0              2             14           16
 M:NOUN:POSS             1              0             15           15
       M:ADV             0              0             14           14
      M:CONJ             0              0             12           12
       M:ADJ             0              2              9           11
     R:CONTR             3              0              8            8
 M:VERB:FORM             2              1              7            8
 U:VERB:FORM             0              1              6            7
      M:PART             0              0              6            6
      R:CONJ             0              0              6            6
 R:NOUN:INFL             2              1              5            6
       U:ADJ             0              1              5            6
      U:PART             0              1              4            5
 U:NOUN:POSS             0              0              5            5
 R:VERB:INFL             4              4              0            4
      U:CONJ             2              0              4            4
  R:ADJ:FORM             1              0              3            3
     U:CONTR             0              0              3            3
     M:CONTR             0              1              1            2
